Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Economic Development & Culture,EC-Business Services,Filming Activity,400A,Service And Rent,Expenses,"188,208"
Economic Development & Culture,EC-Business Services,Filming Activity,650A,Other Expenditures,Expenses,"46,089"
Economic Development & Culture,EC-Business Services,Filming Activity,700A,Inter-Divisional Charges,Expenses,400
Economic Development & Culture,EC-Cultural Services,Arts Programming,100A,Salaries And Benefits,Expenses,"2,082,111"
Economic Development & Culture,EC-Cultural Services,Arts Programming,200A,Materials & Supplies,Expenses,"101,155"
Economic Development & Culture,EC-Cultural Services,Arts Programming,300A,Equipment,Expenses,"11,647"
Economic Development & Culture,EC-Cultural Services,Arts Programming,400A,Service And Rent,Expenses,"206,641"
Economic Development & Culture,EC-Cultural Services,Arts Programming,650A,Other Expenditures,Expenses,"365,000"
Economic Development & Culture,EC-Cultural Services,Arts Programming,700A,Inter-Divisional Charges,Expenses,"8,263"
Economic Development & Culture,EC-Cultural Services,Cultural Development,100A,Salaries And Benefits,Expenses,"1,142,261"
Economic Development & Culture,EC-Cultural Services,Cultural Development,200A,Materials & Supplies,Expenses,"174,994"
Economic Development & Culture,EC-Cultural Services,Cultural Development,300A,Equipment,Expenses,"6,158"
Economic Development & Culture,EC-Cultural Services,Cultural Development,400A,Service And Rent,Expenses,"877,816"
Economic Development & Culture,EC-Cultural Services,Cultural Development,650A,Other Expenditures,Expenses,"274,248"
Economic Development & Culture,EC-Cultural Services,Cultural Development,700A,Inter-Divisional Charges,Expenses,"2,297"
Economic Development & Culture,EC-Cultural Services,Cultural Grants,100A,Salaries And Benefits,Expenses,"10,862"
Economic Development & Culture,EC-Cultural Services,Cultural Grants,650A,Other Expenditures,Expenses,"27,819,200"
Economic Development & Culture,EC-Cultural Services,Events Programming,100A,Salaries And Benefits,Expenses,"3,681,730"
Economic Development & Culture,EC-Cultural Services,Events Programming,200A,Materials & Supplies,Expenses,"49,496"
Economic Development & Culture,EC-Cultural Services,Events Programming,300A,Equipment,Expenses,"3,997"
Economic Development & Culture,EC-Cultural Services,Events Programming,400A,Service And Rent,Expenses,"3,154,763"
Economic Development & Culture,EC-Cultural Services,Events Programming,510A,Contribution To Reserves/Reserve Funds,Expenses,"80,505"
Economic Development & Culture,EC-Cultural Services,Events Programming,650A,Other Expenditures,Expenses,"1,031"
Economic Development & Culture,EC-Cultural Services,Events Programming,700A,Inter-Divisional Charges,Expenses,"168,664"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,100A,Salaries And Benefits,Expenses,"10,554,746"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,200A,Materials & Supplies,Expenses,"687,592"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,300A,Equipment,Expenses,"79,408"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,400A,Service And Rent,Expenses,"1,421,279"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,510A,Contribution To Reserves/Reserve Funds,Expenses,"878,651"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,650A,Other Expenditures,Expenses,"76,403"
Economic Development & Culture,EC-Cultural Services,Heritage Programming,700A,Inter-Divisional Charges,Expenses,"176,386"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,100A,Salaries And Benefits,Expenses,"1,487,070"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,200A,Materials & Supplies,Expenses,"8,588"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,300A,Equipment,Expenses,"7,500"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,400A,Service And Rent,Expenses,"79,873"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,650A,Other Expenditures,Expenses,"6,052"
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,700A,Inter-Divisional Charges,Expenses,"12,190"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,100A,Salaries And Benefits,Expenses,"1,553,779"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,200A,Materials & Supplies,Expenses,"36,660"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,400A,Service And Rent,Expenses,"61,447"
Economic Development & Culture,EC-Economic Competitiveness Services,Research & Policy on Toronto,650A,Other Expenditures,Expenses,"45,000"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,100A,Salaries And Benefits,Expenses,"1,918,758"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,200A,Materials & Supplies,Expenses,"82,518"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,300A,Equipment,Expenses,"2,150"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,400A,Service And Rent,Expenses,"450,545"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,650A,Other Expenditures,Expenses,"175,799"
Economic Development & Culture,EC-Economic Competitiveness Services,Sectors Development,700A,Inter-Divisional Charges,Expenses,"38,124"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,100A,Salaries And Benefits,Expenses,"703,408"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,200A,Materials & Supplies,Expenses,"5,717"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,400A,Service And Rent,Expenses,"240,579"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,650A,Other Expenditures,Expenses,"398,797"
Economic Development & Culture,EC-Economic Competitiveness Services,Strategic Alliances,700A,Inter-Divisional Charges,Expenses,"4,950"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,100A,Salaries And Benefits,Expenses,"864,742"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,200A,Materials & Supplies,Expenses,"4,000"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,400A,Service And Rent,Expenses,"372,398"
Economic Development & Culture,EC-Economic Competitiveness Services,Visitor Information Services,700A,Inter-Divisional Charges,Expenses,"144,916"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,100A,Salaries And Benefits,Expenses,"670,623"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,200A,Materials & Supplies,Expenses,"5,893"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,300A,Equipment,Expenses,"10,348"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,400A,Service And Rent,Expenses,"103,535"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,510A,Contribution To Reserves/Reserve Funds,Expenses,"53,905"
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,700A,Inter-Divisional Charges,Expenses,"119,457"
Engineering & Construction Services,WT-Engineering Information,Land Information,100A,Salaries And Benefits,Expenses,"7,770,368"
Engineering & Construction Services,WT-Engineering Information,Land Information,200A,Materials & Supplies,Expenses,"49,294"
Engineering & Construction Services,WT-Engineering Information,Land Information,300A,Equipment,Expenses,"49,191"
Engineering & Construction Services,WT-Engineering Information,Land Information,400A,Service And Rent,Expenses,"286,509"
Engineering & Construction Services,WT-Engineering Information,Land Information,510A,Contribution To Reserves/Reserve Funds,Expenses,"26,952"
Engineering & Construction Services,WT-Engineering Information,Land Information,700A,Inter-Divisional Charges,Expenses,"128,641"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,100A,Salaries And Benefits,Expenses,"3,738,293"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,200A,Materials & Supplies,Expenses,"42,065"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,300A,Equipment,Expenses,"25,321"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,400A,Service And Rent,Expenses,"316,053"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,510A,Contribution To Reserves/Reserve Funds,Expenses,"53,905"
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,700A,Inter-Divisional Charges,Expenses,"85,787"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,100A,Salaries And Benefits,Expenses,"7,826,927"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,200A,Materials & Supplies,Expenses,"58,963"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,300A,Equipment,Expenses,"38,178"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,400A,Service And Rent,Expenses,"448,190"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,510A,Contribution To Reserves/Reserve Funds,Expenses,"53,905"
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,700A,Inter-Divisional Charges,Expenses,"68,412"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,100A,Salaries And Benefits,Expenses,"23,408,595"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,200A,Materials & Supplies,Expenses,"170,983"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,300A,Equipment,Expenses,"113,222"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,400A,Service And Rent,Expenses,"1,483,112"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,510A,Contribution To Reserves/Reserve Funds,Expenses,"107,809"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,700A,Inter-Divisional Charges,Expenses,"1,904,522"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,100A,Salaries And Benefits,Expenses,"17,026,129"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,200A,Materials & Supplies,Expenses,"154,642"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,300A,Equipment,Expenses,"270,330"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,400A,Service And Rent,Expenses,"951,380"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,510A,Contribution To Reserves/Reserve Funds,Expenses,"500,571"
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,700A,Inter-Divisional Charges,Expenses,"1,539,716"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",100A,Salaries And Benefits,Expenses,"1,000,314"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",200A,Materials & Supplies,Expenses,"275,710"
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",400A,Service And Rent,Expenses,"3,530,131"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,100A,Salaries And Benefits,Expenses,"6,971,773"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,200A,Materials & Supplies,Expenses,"2,005,734"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,300A,Equipment,Expenses,"165,840"
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,400A,Service And Rent,Expenses,"4,276,860"
